timestamp,city,latitude,longitude,timezone,temperature,humidity,wind_speed
2026-08-15 14:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,24.7,82,4.2
2026-08-15 15:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,24.6,87,4.3
2026-08-15 16:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,23.5,93,0.9
2026-08-15 17:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,22.9,96,4.4
2026-08-15 18:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,22.3,100,4.0
2026-08-15 19:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.8,100,3.1
2026-08-15 20:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.5,97,3.5
2026-08-15 21:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.4,97,4.8
2026-08-15 22:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.2,99,3.6
2026-08-15 23:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.1,100,2.9
2026-08-16 00:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.2,98,2.7
2026-08-16 01:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.2,98,2.1
2026-08-16 02:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.2,98,1.3
2026-08-16 03:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.1,99,1.4
2026-08-16 04:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.0,99,0.3
2026-08-16 05:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,20.7,100,0.4
2026-08-16 06:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.3,99,0.4
2026-08-16 07:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,22.3,93,1.8
2026-08-16 08:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,23.8,85,2.3
2026-08-16 09:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,24.6,79,2.1
2026-08-16 10:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,25.3,77,3.1
2026-08-16 11:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,26.3,74,1.9
2026-08-16 12:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,26.8,71,0.8
2026-08-16 13:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,23.0,87,6.5
2026-08-16 14:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,22.4,95,1.5
2026-08-16 15:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,23.7,89,2.2
2026-08-16 16:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,24.0,87,3.1
2026-08-16 17:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,23.9,88,3.9
2026-08-16 18:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,23.6,89,2.9
2026-08-16 19:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,22.8,93,3.2
2026-08-16 20:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,22.2,96,4.5
2026-08-16 21:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.9,98,4.9
2026-08-16 22:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.8,98,4.7
2026-08-16 23:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.6,98,4.3
2026-08-17 00:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.4,99,3.5
2026-08-17 01:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.2,99,2.4
2026-08-17 02:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.0,100,1.6
2026-08-17 03:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,20.8,100,1.3
2026-08-17 04:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,20.7,100,1.1
2026-08-17 05:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,20.8,99,0.9
2026-08-17 06:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.2,96,0.5
2026-08-17 07:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.9,93,1.0
2026-08-17 08:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,22.7,89,1.7
2026-08-17 09:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,23.6,84,2.6
2026-08-17 10:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,24.5,79,3.5
2026-08-17 11:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,25.2,76,4.2
2026-08-17 12:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,25.7,74,4.9
2026-08-17 13:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,25.9,74,5.4
2026-08-17 14:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,25.8,75,5.2
2026-08-17 15:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,25.3,78,4.0
2026-08-17 16:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,24.5,82,2.2
2026-08-17 17:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,23.7,86,1.6
2026-08-17 18:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,23.2,90,2.7
2026-08-17 19:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,22.7,94,4.4
2026-08-17 20:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,22.3,97,5.4
2026-08-17 21:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.9,98,5.2
2026-08-17 22:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.6,99,4.5
2026-08-17 23:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.4,100,3.3
2026-08-18 00:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.2,100,1.6
2026-08-18 01:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.1,100,0.4
2026-08-18 02:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.0,100,1.7
2026-08-18 03:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,20.9,100,1.9
2026-08-18 04:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,20.8,100,1.1
2026-08-18 05:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,20.8,100,0.6
2026-08-18 06:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,20.9,100,0.6
2026-08-18 07:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.2,99,1.2
2026-08-18 08:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,21.6,98,1.4
2026-08-18 09:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,22.0,95,1.2
2026-08-18 10:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,22.6,91,1.5
2026-08-18 11:00:00,Kathmandu,27.732864,85.34831,Asia/Kathmandu,23.3,87,2.4
